country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
AFG,2010,,69.04598764899113,74.40928609106592,12.402374058341877,29.88909464289738,,90.30276480159817,83.29228218279037,83.25130363193033,77.91300862963553,98.90502555043938
ARE,2010,,,,79.19915989441644,21.445539976892942,,8.525456265473162,18.14035504035974,22.14104264210469,10.443393559244207,14.222145371009418
BGD,2010,,58.45959626900053,90.65867578259245,58.421667717832435,68.50604295325027,,63.82840743853349,56.778786850245645,51.55986786930398,58.79779912305633,78.09702758655585
BHR,2010,0.0,56.440628051833144,92.15731932797607,64.89995522358032,28.482525003103625,,46.33749117376944,30.349557879998386,20.4147194144936,6.854360231319179,39.354451795434805
BTN,2010,54.37346894098876,98.57350829180847,70.99448211338,25.12645747367111,61.4275603758934,,9.911951831097774,25.118416338857312,19.611020773469896,59.41854873417584,18.809736436143766
DJI,2010,,53.343857247257006,86.53832667548691,,41.39042604005918,,19.64027187284105,58.47798245663881,49.48988836401953,56.174631612698136,61.72590814453531
DZA,2010,,48.70095986663189,4.702225304566729,62.461998503967564,41.137118252048055,,60.673029243414675,54.813670024520476,48.83027477691617,63.94357333032696,57.36742975756736
EGY,2010,,65.97664725389075,84.35558228621136,60.64421519342975,88.88212251168068,,53.06142707564797,50.69925008103748,32.819161913042635,32.761901774776454,64.50077122769912
ERI,2010,,,,76.10347834632914,,,50.24738753772241,71.73090570439074,72.693011547161,90.80176905221168,68.1605260112988
ETH,2010,,66.10350762710952,94.96864368313027,21.88773308707959,68.65268809160658,,67.07904270476615,51.24624668839797,51.219542400439856,54.851484018706174,67.45198999748857
IND,2010,56.046819971823616,68.29186037892528,81.55025171538986,43.10504849784193,93.58383820847993,,51.50720210831455,40.82411928305395,22.857119268227923,42.58602978525617,56.28603536678271
IRN,2010,,,,57.237766103489385,81.24834205504256,,65.53012754270198,55.972467401173155,58.365592600045744,76.81568793585758,82.66049578748824
IRQ,2010,,52.93653587627423,68.36245180119782,54.07253076398405,31.52080274256004,,82.48677567320946,72.61699692709048,75.05189223658108,63.41874839668263,87.48198180020948
ISR,2010,,56.78394014386039,75.74949593412917,58.5634432771804,33.29211869226797,,46.611483022714644,0.0,0.0,0.0,21.987731281141553
JOR,2010,61.287282643780884,74.05195855468698,79.7047704829892,73.78161118538684,47.203868015072715,,37.98432469805673,34.95899678025577,23.047303094211095,30.16682544471051,43.45312769508726
KWT,2010,,0.0,80.57928245811438,100.0,44.937312000880084,,14.099655929041347,34.18562903777515,13.649307869273727,19.382244079370647,40.68515544242916
LBN,2010,,100.0,58.18148394237389,45.84008305805871,41.60727227770387,,63.49223116027157,45.54595160114411,44.651389104833,32.13785667225081,76.07229006688272
LBY,2010,,18.882267807923768,0.0,61.272351160865114,33.923117740290024,,40.87748303730985,72.2407143261828,60.818668688638844,71.40231795574525,84.96411529783872
LKA,2010,100.0,65.54469470997175,87.95067254626247,45.62632748336569,56.11211304055996,,47.49486655348745,42.8726672697337,32.111076707108836,34.7304512509835,52.9660530588661
MAR,2010,44.86349589809549,69.52609425940635,82.83647312731102,69.26985021588253,22.19587880465574,,38.966068624355756,39.5535053802178,36.384621003431214,32.143805392783285,54.275185266670675
MDV,2010,64.24336612797494,76.65386639994374,96.56140784104319,52.06802392880123,55.67217365423494,,31.820078145296076,37.713243979992136,29.28806971089777,38.73171719358571,62.692574338593445
NPL,2010,11.92372612171982,63.540689344788824,86.18452435282016,62.376067414377204,76.29565343652558,,67.64476916242012,57.42462709695092,54.716210992904315,58.43080858576213,68.32407169358866
OMN,2010,,47.30590476115387,87.59799331152645,74.64914526081951,36.88803930420774,,13.756752095560968,32.08216728032439,11.270971727073842,6.839538314436896,35.335854947654305
PAK,2010,,63.32955440098924,89.6057701297237,79.72859121988702,99.74812685906235,,88.76607619715506,59.85298217680334,50.04447590873572,53.822539315493046,84.05787689513123
PSE,2010,,88.1125924167377,98.95917810596578,57.34548327180191,40.08598868473913,,71.79678380106918,50.104580984652436,41.143102071422746,28.276466724391287,44.970310104889016
QAT,2010,,,,0.0,0.0,,0.0,15.034031728122274,2.330630262764576,6.715450747774127,0.0
SAU,2010,,35.80024724536384,21.23203817804514,61.208130957463425,50.410392952925555,,35.36750474362671,37.69659735528759,29.478234629735383,24.0888979540018,48.42471152950956
SDN,2010,,67.65870988265094,100.0,67.39212585486587,100.0,,87.97193228580532,75.3870411996499,68.43142602040447,73.78278826882351,93.16411767079617
SOM,2010,,,,52.54501797049688,,,100.0,100.0,100.0,100.0,100.0
SSD,2010,,,,58.831946033090475,23.33893717200713,,,,,,51.4038175068803
SYR,2010,,63.15567686050877,71.22738656465295,60.41243814447468,44.29464797348526,,55.60079414636847,57.61946435868677,47.20876961309111,54.77621462085761,80.42032149211038
TUN,2010,24.127004312123447,70.80862348061903,90.43385722966744,72.03616510099715,37.42300298913892,,34.208704242642526,31.67715490126284,31.88876648963066,33.24555333140197,50.83829679689411
TUR,2010,40.0888679739306,73.02956966028971,88.90936970650534,42.87149420837675,71.36113617025173,,41.83534389687273,29.971007894001637,23.144838755766127,20.705070542222757,42.473258207086545
YEM,2010,,68.59599415960727,87.00693511028541,47.273692071500854,88.29551694347437,,87.83968840362364,67.49288170236879,59.80672359524163,44.854194614948796,79.06634104931189
