Data As Of,Country Code,Country,Debt To GDP (%),Debt To GDP (%) — As Of Year,Current Account (% GDP),Current Account (% GDP) — As Of Year,Reserves (Months Of Imports),Reserves (Months Of Imports) — As Of Year,GDP Growth (%),GDP Growth (%) — As Of Year,Inflation (%),Inflation (%) — As Of Year,Political Stability (WGI),Political Stability (WGI) — As Of Year,Government Effectiveness (WGI),Government Effectiveness (WGI) — As Of Year,Rule Of Law (WGI),Rule Of Law (WGI) — As Of Year,Regulatory Quality (WGI),Regulatory Quality (WGI) — As Of Year,Control Of Corruption (WGI),Control Of Corruption (WGI) — As Of Year,FDI Net Inflows (% GDP),FDI Net Inflows (% GDP) — As Of Year,Exports (% GDP),Exports (% GDP) — As Of Year,Imports (% GDP),Imports (% GDP) — As Of Year,Official Exchange Rate (LCU per USD),Official Exchange Rate (LCU per USD) — As Of Year,Gdp Current Usd,Gdp Current Usd Year,Gdp Per Capita Usd,Gdp Per Capita Usd Year,Total Reserves Usd,Total Reserves Usd Year,Unemployment Rate,Unemployment Rate Year,Youth Unemployment Rate,Youth Unemployment Rate Year,Gini Index,Gini Index Year,Currency Depreciation YoY (%),Currency Depreciation YoY (%) — As Of Year,Debt To GDP (%) — Source,GDP Growth (%) — Source,Inflation (%) — Source,Composite Risk Score,Factors Used,Risk Tier,Regional Rank,YoY Change,YoY Latest Year,YoY Prior Year
2026-08-31,SSD,South Sudan,57.3,2026.0,7.93071136684621,2023.0,0.174842702708606,2023.0,-10.7933646271143,2015,91.4408220769046,2024.0,-1.4896464,2024,-2.1728459,2024,-1.9725304,2024,-1.9295182,2024,-2.0647211,2024,0.0012502291294692,2015,36.6513492804707,2015.0,28.8999999040295,2015.0,2163.10387269883,2024.0,11997800760.2242,2015,1080.14718624765,2015,15961778.4894403,2024.0,12.374,2023,18.524,2023,44.0,2016.0,132.50895369429827,2024.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,80.6,11,Higher Risk,1.0,13.4,2024,2023
2026-08-31,SDN,Sudan,169.1,2026.0,-8.59889945377348,2022.0,0.186146721322576,2017.0,3.06427942935869,2025,138.80846024176,2022.0,-2.0243381,2024,-1.79393619999999,2024,-1.7733122,2024,-1.6627093,2024,-1.557432,2024,1.37399372870934,2023,1.1030420269355,2025.0,1.27888825694147,2025.0,546.75885,2022.0,60162634574.4689,2025,1164.53991699219,2025,177933851.813136,2017.0,7.53,2022,12.0,2022,34.2,2014.0,47.45758780731366,2022.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,77.1,11,Higher Risk,2.0,-4.0,2024,2023
2026-08-31,YEM,Yemen,,,-7.72391058547812,2016.0,1.21909636539694,2016.0,0.752447592962554,2018,8.10472583623915,2014.0,-2.7505641,2024,-1.87279819999999,2024,-1.90158959999999,2024,-1.5841279,2024,-1.63587859999999,2024,-1.30563839823089,2018,8.75610238271449,2018.0,47.3217203387932,2018.0,1355.11637864823,2023.0,21606160663.0318,2018,633.887202451545,2018,1250826378.53556,2022.0,17.322,2025,32.598,2025,36.7,2014.0,21.534841029775254,2023.0,,World Bank WDI,World Bank WDI,71.3,10,Higher Risk,3.0,-0.8,2023,2022
2026-08-31,SYR,Syria,30.0,2010.0,-0.598441906450217,2010.0,11.659017145464,2010.0,-0.20247264200475,2022,13.4175653228571,2019.0,-2.3680716,2024,-1.6726478,2024,-1.813556,2024,-1.9974752,2024,-1.70162709999999,2024,1.19065647696386,2011,6.7771895571266,2022.0,28.6600525880316,2022.0,2505.74691085873,2022.0,23737634644.3994,2022,1056.78264718197,2022,20631907296.8694,2010.0,13.569,2025,33.101,2025,26.4,2022.0,99.5021425842938,2022.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,67.4,11,Higher Risk,4.0,12.9,2022,2021
2026-08-31,SOM,Somalia,12.6627391994652,2024.0,,,,,2.99114404482197,2025,5.9,2026.0,-2.2630781,2024,-1.95005229999999,2024,-2.2054496,2024,-1.72760539999999,2024,-1.7861136,2024,6.39257959388318,2024,29.2484917491797,2025.0,98.8149470599555,2025.0,23097.9873219373,2017.0,12995200000.2658,2025,661.173877723116,2025,,,18.948,2025,34.23,2025,,,0.1569826843382362,2017.0,World Bank WDI,World Bank WDI,IMF WEO (fallback),61.8,9,Moderate Risk,5.0,-10.1,2024,2023
2026-08-31,ERI,Eritrea,260.4,2019.0,,,,,8.67980010138049,2011,1.3,2019.0,-0.7086146,2024,-1.45617889999999,2024,-1.8026292,2024,-2.0353648,2024,-1.6331361,2024,1.8886183675912,2011,18.1548372567671,2011.0,29.2389528621013,2011.0,15.075,2025.0,2065001626.01626,2011,688.68165957684,2011,191694416.403147,2019.0,5.978,2025,10.241,2025,,,0.0,2025.0,IMF WEO (fallback),World Bank WDI,IMF WEO (fallback),61.4,9,Moderate Risk,6.0,-0.2,2024,2023
2026-08-31,LBN,Lebanon,139.4,2025.0,-28.103669636709,2023.0,13.6032284132075,2023.0,-7.07989192861814,2024,14.597595869611,2025.0,-1.3896806,2024,-1.1301199,2024,-1.0853525,2024,-0.958879399999999,2024,-1.3041344,2024,7.09437049742925,2024,23.3165495276514,2024.0,58.9158109340607,2024.0,89500.0,2025.0,25971643441.3408,2024,4473.27134441128,2024,33301277509.6206,2024.0,10.985,2023,22.744,2023,35.5,2022.0,0.0,2025.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,60.6,11,Moderate Risk,7.0,-3.7,2024,2023
2026-08-31,PSE,Palestine,,,-15.8215746940007,2025.0,2.34819177993939,2025.0,4.34444072337577,2025,9.80840118100493,2025.0,-1.8763518,2024,-1.0985907,2024,-0.989397099999999,2024,-0.4676244,2024,-0.5708422,2024,1.9212691698858,2025,21.2278136668395,2025.0,53.5326292734358,2025.0,,,17167100000.0,2025,3171.10844621579,2025,1825200000.0,2025.0,24.42,2022,36.092,2022,36.4,2023.0,,,,World Bank WDI,World Bank WDI,59.6,9,Moderate Risk,8.0,16.3,2024,2023
2026-08-31,AFG,Afghanistan,8.0,2025.0,-15.7183027911684,2020.0,16.6316336551941,2020.0,1.87319280045979,2024,-6.60118564073726,2024.0,-2.2052112,2024,-1.9339966,2024,-1.93548869999999,2024,-1.538435,2024,-1.3087183,2024,0.144466946606861,2021,15.7027518479481,2024.0,68.0602732398198,2024.0,76.8135364354897,2020.0,17778508875.7396,2024,416.871146273728,2024,9748946326.71795,2020.0,13.351,2025,16.785,2025,,,-1.1891396063540838,2020.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,58.1,11,Moderate Risk,9.0,-1.5,2024,2023
2026-08-31,IRN,Iran,37.3,2026.0,,,,,-2.82597163290347,2025,42.1712244965444,2025.0,-1.58118839999999,2024,-0.7061233,2024,-1.2348012,2024,-1.5113535,2024,-1.14723819999999,2024,0.304914200880697,2024,25.754375261588,2025.0,34.4882471351587,2025.0,42000.0,2023.0,362682115433.364,2025,3924.38017821898,2025,,,8.301,2025,21.9,2025,35.9,2023.0,0.0,2023.0,IMF WEO (fallback),World Bank WDI,World Bank WDI,54.4,9,Moderate Risk,10.0,8.8,2024,2023
