country_code,country,debt_to_gdp,debt_to_gdp_year,current_account_pct_gdp,current_account_pct_gdp_year,reserves_months_imports,reserves_months_imports_year,gdp_growth,gdp_growth_year,inflation,inflation_year,political_stability,political_stability_year,government_effectiveness,government_effectiveness_year,rule_of_law,rule_of_law_year,regulatory_quality,regulatory_quality_year,control_of_corruption,control_of_corruption_year,fdi_net_inflows_pct_gdp,fdi_net_inflows_pct_gdp_year
PAK,Pakistan,,,0.124893414067427,2024.0,2.84569889190225,2024.0,3.08176295579301,2024,12.6325318530452,2024,-2.0634311,2024,-0.6003273,2024,-1.017096,2024,-0.7928043,2024,-1.0656237,2024,0.716885239403099,2024
EGY,Egypt,,,-5.68596234093524,2024.0,4.53950764706678,2024.0,2.3991692678251,2024,28.2705899322083,2024,-0.9779235,2024,-0.0970579,2024,-0.751539899999999,2024,-0.499469399999999,2024,-0.8269898,2024,11.9719351009449,2024
MAR,Morocco,51.2263215704569,2011.0,-1.23072108998601,2024.0,5.26170979299897,2024.0,3.79336515978963,2024,0.985256592004507,2024,-0.4408003,2024,0.1763559,2024,-0.3678036,2024,-0.0266854999999999,2024,-0.5186913,2024,1.08850441035779,2024
TUN,Tunisia,42.5197543010178,2012.0,-1.50801033952852,2024.0,4.51241564590908,2024.0,1.61444564976986,2024,7.20661657168794,2024,-0.9248175,2024,-0.2393469,2024,-0.3644942,2024,-0.3901173,2024,-0.220154599999999,2024,1.47747574805229,2024
DZA,Algeria,,,-1.0224994485325,2024.0,16.5279389774711,2024.0,3.69999999907979,2024,4.04611455313434,2024,-0.6935882,2024,-0.2511914,2024,-0.6967772,2024,-0.7526468,2024,-0.5933952,2024,0.455370730483787,2024
JOR,Jordan,93.6205554347008,2023.0,-5.33366328480029,2024.0,7.79308209953668,2024.0,2.55605891810194,2024,1.55659611283953,2024,-0.3501687,2024,0.2162114,2024,0.1685335,2024,0.2760104,2024,0.2721934,2024,2.78862682935517,2024
SAU,Saudi Arabia,,,-1.29603148573183,2024.0,15.0571337423468,2024.0,2.64893068308965,2024,1.68792112375809,2024,-0.048171,2024,0.7833016,2024,0.2103549,2024,0.7102575,2024,0.7528275,2024,1.70136894275871,2024
ARE,UAE,1.80326819075483,2013.0,14.4792979326645,2024.0,5.19940206842546,2024.0,3.99181200361831,2024,1.66336510224894,2024,0.7886704,2024,1.2599659,2024,0.4968448,2024,1.1257177,2024,1.1702182,2024,8.26261604873876,2024
IRN,Iran,,,,,,,3.66312057949303,2024,32.455871402917,2024,-1.58118839999999,2024,-0.7061233,2024,-1.2348012,2024,-1.5113535,2024,-1.14723819999999,2024,0.304914200880697,2024
BGD,Bangladesh,,,-0.669466607987832,2024.0,3.07374348965567,2024.0,4.22325911250161,2024,10.4657482763412,2024,-1.46295089999999,2024,-0.618974599999999,2024,-0.9600594,2024,-0.9500708,2024,-1.1021569,2024,0.283870773350074,2024
LKA,Sri Lanka,73.5126591623625,2015.0,1.21048332599166,2024.0,2.86493580597895,2024.0,4.99241614398109,2024,-0.42936004906973,2024,-0.350302399999999,2024,-0.2745215,2024,-0.2577461,2024,-0.299213499999999,2024,-0.384770899999999,2024,0.764077754153862,2024
IRQ,Iraq,27.438248367378,2018.0,2.99186896502489,2024.0,11.2072163127604,2024.0,-1.54525198319173,2024,2.6116961151764,2024,-2.0642762,2024,-1.1018847,2024,-1.3581614,2024,-1.030546,2024,-1.2050155,2024,-2.73525447039729,2024
LBN,Lebanon,,,-28.103669636709,2023.0,13.6032284132075,2023.0,-7.07989192861814,2024,45.2430422716718,2024,-1.3896806,2024,-1.1301199,2024,-1.0853525,2024,-0.958879399999999,2024,-1.3041344,2024,7.09437049742925,2024
KWT,Kuwait,,,29.025293802042,2024.0,8.95073906369193,2024.0,-1.47401818168846,2024,2.89855072463762,2024,0.2939367,2024,0.3278963,2024,0.2308269,2024,0.4035133,2024,0.2183455,2024,0.381956730773215,2024
QAT,Qatar,,,17.5152925396793,2024.0,6.69567627121726,2024.0,3.10963283242745,2024,1.26734310292375,2024,0.9511752,2024,1.1342702,2024,0.589593,2024,0.9663365,2024,0.7548293,2024,0.212749202349259,2024
