country_code,year,risk_score,economic_risk_score,political_risk_score,country
AFG,2010,70.6,46.4,86.7,Afghanistan
ARE,2010,23.6,50.3,14.7,UAE
BGD,2010,64.7,69.0,61.8,Bangladesh
BHR,2010,37.6,48.4,28.7,Bahrain
BTN,2010,42.7,62.1,26.6,Bhutan
DJI,2010,52.9,60.4,49.1,Djibouti
DZA,2010,50.0,39.3,57.1,Algeria
EGY,2010,58.0,75.0,46.8,Egypt
ERI,2010,71.5,76.1,70.7,Eritrea
ETH,2010,60.2,62.9,58.4,Ethiopia
IND,2010,54.5,68.5,42.8,India
IRN,2010,68.2,69.2,67.9,Iran
IRQ,2010,66.4,51.7,76.2,Iraq
ISR,2010,30.7,56.1,13.7,Israel
JOR,2010,49.1,67.2,33.9,Jordan
KWT,2010,37.2,56.4,24.4,Kuwait
LBN,2010,56.0,61.4,52.4,Lebanon
LBY,2010,51.0,28.5,66.1,Libya
LKA,2010,55.2,71.0,42.0,Sri Lanka
MAR,2010,48.2,57.7,40.3,Morocco
MDV,2010,53.2,69.0,40.0,Maldives
NPL,2010,60.7,60.1,61.3,Nepal
OMN,2010,36.6,61.6,19.9,Oman
PAK,2010,73.6,83.1,67.3,Pakistan
PSE,2010,56.8,71.1,47.3,Palestine
QAT,2010,3.6,0.0,4.8,Qatar
SAU,2010,37.9,42.2,35.0,Saudi Arabia
SDN,2010,81.4,83.8,79.7,Sudan
SOM,2010,93.2,52.5,100.0,Somalia
SSD,2010,45.0,41.1,51.4,South Sudan
SYR,2010,59.4,59.8,59.1,Syria
TUN,2010,46.6,59.0,36.4,Tunisia
TUR,2010,46.0,63.3,31.6,Turkey
YEM,2010,69.8,72.8,67.8,Yemen
AFG,2011,66.9,42.8,86.9,Afghanistan
ARE,2011,7.8,4.6,9.4,UAE
BGD,2011,51.4,39.4,61.3,Bangladesh
BHR,2011,29.4,27.0,31.7,Bahrain
BTN,2011,36.9,48.0,25.9,Bhutan
DJI,2011,49.3,47.4,50.5,Djibouti
